,,,Premature death,Premature death,Premature death,Premature death,Premature death,Premature death,Premature death,Premature death,Premature death,Premature death,Premature death,Premature death,Premature death,Premature death,Premature death,Premature death,Premature death,Premature death,Premature death,Premature death,Poor or fair health,Poor or fair health,Poor or fair health,Poor or fair health,Poor physical health days,Poor physical health days,Poor physical health days,Poor physical health days,Poor mental health days,Poor mental health days,Poor mental health days,Poor mental health days,Adult smoking,Adult smoking,Adult smoking,Adult smoking,Adult obesity,Adult obesity,Adult obesity,Adult obesity,Food environment index,Food environment index,Physical inactivity,Physical inactivity,Physical inactivity,Physical inactivity,Access to exercise opportunities,Access to exercise opportunities,Excessive drinking,Excessive drinking,Excessive drinking,Excessive drinking,Alcohol-impaired driving deaths,Alcohol-impaired driving deaths,Alcohol-impaired driving deaths,Alcohol-impaired driving deaths,Alcohol-impaired driving deaths,Alcohol-impaired driving deaths,Sexually transmitted infections,Sexually transmitted infections,Sexually transmitted infections,Teen Birth Rate,Teen Birth Rate,Teen Birth Rate,Teen Birth Rate,Teen Birth Rate,Teen Birth Rate,Teen Birth Rate,Teen Birth Rate,Teen Birth Rate,Teen Birth Rate,Teen Birth Rate,Teen Birth Rate,Teen Birth Rate,Teen Birth Rate,Teen Birth Rate,Teen Birth Rate,Teen Birth Rate,Teen Birth Rate,Teen Birth Rate,Uninsured,Uninsured,Uninsured,Uninsured,Uninsured,Primary care physicians,Primary care physicians,Primary care physicians,Primary care physicians,Mental health providers,Mental health providers,Mental health providers,Mental health providers,Preventable Hospitalization Rate,Preventable Hospitalization Rate,Preventable Hospitalization Rate,Preventable Hospitalization Rate,Preventable Hospitalization Rate,Preventable Hospitalization Rate,Preventable Hospitalization Rate,Flu vaccinations,Flu vaccinations,Flu vaccinations,Flu vaccinations,Flu vaccinations,Flu vaccinations,Flu vaccinations,High school graduation,High school graduation,High school graduation,Some college,Some college,Some college,Some college,Some college,Some college,Unemployment,Unemployment,Unemployment,Unemployment,Children in poverty,Children in poverty,Children in poverty,Children in poverty,Children in poverty,Children in poverty,Children in poverty,Children in poverty,Children in poverty,Income inequality,Income inequality,Income inequality,Income inequality,Children in single-parent households,Children in single-parent households,Children in single-parent households,Children in single-parent households,Children in single-parent households,Children in single-parent households,Social associations,Social associations,Social associations,Violent crime,Violent crime,Violent crime,Injury deaths,Injury deaths,Injury deaths,Injury deaths,Injury deaths,Injury deaths,Injury deaths,Injury deaths,Injury deaths,Injury deaths,Injury deaths,Injury deaths,Injury deaths,Injury deaths,Injury deaths,Injury deaths,Injury deaths,Injury deaths,Injury deaths,Injury deaths,Air pollution - particulate matter,Air pollution - particulate matter,Drinking water violations,Drinking water violations,Severe housing problems,Severe housing problems,Severe housing problems,Severe housing problems,Severe housing problems,Severe housing problems,Severe housing problems,Severe housing problems,Severe housing problems,Severe housing problems,Severe housing problems,Severe housing problems,Severe housing problems,Driving alone to work,Driving alone to work,Driving alone to work,Driving alone to work,Driving alone to work,Driving alone to work,Driving alone to work,Driving alone to work,Driving alone to work,Driving alone to work,Driving alone to work,Driving alone to work,Driving alone to work,Driving alone to work,Driving alone to work,Driving alone to work,Driving alone to work,Driving alone to work,Driving alone to work,Median household income,Median household income,Median household income,Median household income,Median household income,Median household income,Median household income,Median household income,Median household income,Median household income,Median household income,Median household income,Median household income,Median household income,Median household income,Median household income,Median household income,Median household income,Children eligible for free or reduced price lunch,Residential segregation - Black/White,Residential segregation - non-White/White,Homeownership,Homeownership,Homeownership,Homeownership,Severe housing cost burden,Severe housing cost burden,Severe housing cost burden,Severe housing cost burden,Demographics,Demographics,Demographics,Demographics,Demographics,Demographics,Demographics,Demographics,Demographics,Demographics,Demographics,Demographics,Demographics,Demographics,Demographics,Demographics,Demographics,Demographics,Demographics,Demographics,Demographics,Demographics,Rankings,Rankings,Rankings,Rankings,Rankings,Rankings,Rankings,Rankings,Rankings,Rankings,Rankings,Rankings
FIPS,State,County,Deaths,Years of Potential Life Lost Rate,95LCI,95HCI,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95Perc CI - Low,YPLL Rate (AIAN) 95Perc CI - High,YPLL Rate (Asian),YPLL Rate (Asian) 95Perc CI - Low,YPLL Rate (Asian) 95Perc CI - High,YPLL Rate Black,YPLL Rate Black 95LCI,YPLL Rate Black 95HCI,YPLL Rate Hispanic,YPLL Rate Hispanic 95LCI,YPLL Rate Hispanic 95HCI,YPLL Rate White,YPLL Rate White 95LCI,YPLL Rate White 95HCI,Perc Fair or Poor Health,95LCI,95HCI,Z-Score,Average Number of Physically Unhealthy Days,95LCI,95HCI,Z-Score,Average Number of Mentally Unhealthy Days,95LCI,95HCI,Z-Score,Perc Smokers,95LCI,95HCI,Z-Score,Perc Adults with Obesity,95LCI,95HCI,Z-Score,Food Environment Index,Z-Score,Perc Physically Inactive,95LCI,95HCI,Z-Score,Perc With Access to Exercise Opportunities,Z-Score,Perc Excessive Drinking,95LCI,95HCI,Z-Score,Num Alcohol-Impaired Driving Deaths,Num Driving Deaths,Perc Driving Deaths with Alcohol Involvement,95LCI,95HCI,Z-Score,Num Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95LCI,95HCI,Z-Score,Teen Birth Rate AIAN,Teen Birth Rate AIAN 95LCI,Teen Birth Rate AIAN 95HCI,Teen Birth Rate Asian,Teen Birth Rate Asian 95LCI,Teen Birth Rate Asian 95HCI,Teen Birth Rate Black,Teen Birth Rate Black 95LCI,Teen Birth Rate Black 95HCI,Teen Birth Rate Hispanic,Teen Birth Rate Hispanic 95LCI,Teen Birth Rate Hispanic 95HCI,Teen Birth Rate White,Teen Birth Rate White 95LCI,Teen Birth Rate White 95HCI,Num Uninsured,Perc Uninsured,95LCI,95HCI,Z-Score,Num Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,Num Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate AIAN,Preventable Hosp. Rate Asian,Preventable Hosp. Rate Black,Preventable Hosp. Rate Hispanic,Preventable Hosp. Rate White,Perc Vaccinated,Z-Score,Perc Vaccinated AIAN,Perc Vaccinated Asian,Perc Vaccinated Black,Perc Vaccinated Hispanic,Perc Vaccinated White,Cohort Size,High School Graduation Rate,Z-Score,Num Some College,Population,Perc Some College,95LCI,95HCI,Z-Score,Num Unemployed,Labor Force,Perc Unemployed,Z-Score,Perc Children in Poverty,95LCI,95HCI,Z-Score,Perc Children in Poverty AIAN,Perc Children in Poverty Asian,Perc Children in Poverty Black,Perc Children in Poverty Hispanic,Perc Children in Poverty White,80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,Num Single-Parent Households,Num Households,Perc Single-Parent Households,95LCI,95HCI,Z-Score,Num Associations,Social Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,Num Injury Deaths,Injury Death Rate,95LCI,95HCI,Z-Score,Injury Death Rate AIAN,Injury Death Rate AIAN 95LCI,Injury Death Rate AIAN 95HCI,Injury Death Rate Asian,Injury Death Rate Asian 95LCI,Injury Death Rate Asian 95HCI,Injury Death Rate Black,Injury Death Rate Black 95LCI,Injury Death Rate Black 95HCI,Injury Death Rate Hispanic,Injury Death Rate Hispanic 95LCI,Injury Death Rate Hispanic 95HCI,Injury Death Rate White,Injury Death Rate White 95LCI,Injury Death Rate White 95HCI,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,Perc Severe Housing Problems,95LCI,95HCI,Severe Housing Cost Burden,Severe Housing Cost Burden 95LCI,Severe Housing Cost Burden 95HCI,Overcrowding,Overcrowding 95LCI,Overcrowding 95HCI,Inadequate Facilities,Inadequate Facilities 95LCI,Inadequate Facilities 95HCI,Z-Score,Perc Drive Alone to Work,95LCI,95HCI,Z-Score,Perc Drive Alone AIAN,Perc Drive Alone AIAN 95LCI,Perc Drive Alone AIAN 95HCI,Perc Drive Alone Asian,Perc Drive Alone Asian 95LCI,Perc Drive Alone Asian 95HCI,Perc Drive Alone Black,Perc Drive Alone Black 95LCI,Perc Drive Alone Black 95HCI,Perc Drive Alone Hispanic,Perc Drive Alone Hispanic 95LCI,Perc Drive Alone Hispanic 95HCI,Perc Drive Alone White,Perc Drive Alone White 95LCI,Perc Drive Alone White 95HCI,Median Household Income,95Perc CI - Low,95Perc CI - High,Household Income (AIAN),Household Income (AIAN) 95Perc CI - Low,Household Income (AIAN) 95Perc CI - High,Household Income (Asian),Household Income (Asian) 95Perc CI - Low,Household Income (Asian) 95Perc CI - High,Household Income (Black),Household Income (Black) 95Perc CI - Low,Household Income (Black) 95Perc CI - High,Household Income (Hispanic),Household Income (Hispanic) 95Perc CI - Low,Household Income (Hispanic) 95Perc CI - High,Household Income (White),Household Income (White) 95Perc CI - Low,Household Income (White) 95Perc CI - High,Perc Enrolled in Free or Reduced Lunch,Segregation index,Segregation Index,Num Homeowners,Perc Homeowners,95Perc CI - Low,95Perc CI - High,Num Households with Severe Cost Burden,Perc Severe Housing Cost Burden,95Perc CI - Low,95Perc CI - High,Population,Perc less than 18 years of age,Perc 65 and over,Num Black,Perc Black,Num American Indian & Alaska Native,Perc American Indian & Alaska Native,Num Asian,Perc Asian,Num Native Hawaiian/Other Pacific Islander,Perc Native Hawaiian/Other Pacific Islander,Num Hispanic,Perc Hispanic,Num Non-Hispanic White,Perc Non-Hispanic White,Num Not Proficient in English,Perc Not Proficient in English,95Perc CI - Low,95Perc CI - High,Perc Female,Num Rural,Perc Rural,Length of Life Z-Score,Length of Life Rank,Quality of Life Z-Score,Quality of Life Rank,Health Behaviors Z-Score,Health Behaviors Rank,Clinical Care Z-Score,Clinical Care Rank,Socio-Economic Factors Z-Score,Socio-Economic  Factors Rank,Physical Environment Z-Score,Physical Environment Rank
08000,Colorado,State Average,52817.0,5944.2,5871.5,6016.9,,,,,,,,,,,,,,,,,14.5,13.6,15.4,,3.4,3.3,3.6,,3.8,3.6,4.1,,14.6,13.7,15.6,,21.8,,,,8.4,,15.5,,,,90.5,,20.5,19.4,21.6,,996.0,2923.0,34.1,33.2,35.0,,26995.0,481.4,,19.4,19.2,19.7,,,,,,,,,,,,,,,,,410250.0,8.7,8.3,9.0,,4598.0,82.0,1219:1,,20255.0,355.6,281:1,,2833.0,,,,,,,48.0,,,,,,,65933.0,80.7,,1146605.0,1598434.0,71.7,71.2,72.2,,101608.0,3096364.0,3.3,,12.1,11.3,12.9,,,,,,,132184.0,30158.0,4.4,,337593.0,1248456.0,27.0,26.5,27.6,,4907.0,8.8,,17768.5,326.1,,21576.0,78.0,77.0,79.1,,,,,,,,,,,,,,,,,5.1,,,,16.5,16.3,16.7,,,,,,,,,,,75.3,75.1,75.6,,,,,,,,,,,,,,,,,71949,71186,72712,,,,,,,,,,,,,,,,42,62,37,1371145,65,64,65,291884,14,14,14,5695564,22.2,14.2,229085,4.0,91120,1.6,197634,3.5,10933,0.2,1235117,21.7,3868329,67.9,157143,3,3,3,49.6,696435,13.8,,,,,,,,,,,,
08001,Colorado,Adams,4658.0,6436.7,6191.0,6682.4,-0.2,10364.8,6941.5,14885.6,4111.3,3166.2,5056.3,9085.4,7549.8,10621.0,5674.7,5309.0,6040.3,6750.2,6388.1,7112.2,16.6,16.3,17.0,0.6,3.5,3.4,3.6,0.0,3.8,3.7,3.9,0.1,16.3,15.9,16.7,1.2,27.8,25.7,30.0,0.5,8.7,-0.8,19.9,18.2,21.6,0.1,93.1,-0.9,18.9,18.4,19.5,0.2,83.0,251.0,33.1,29.9,36.2,0.1,2831.0,562.6,1.4,27.1,26.1,28.1,0.4,27.6,17.1,42.2,12.2,9.2,15.9,23.3,18.8,27.7,34.4,32.9,35.9,17.9,16.6,19.1,49175.0,11.0,10.1,12.0,0.1,219.0,43.5,2298:1,0.8,1714.0,334.9,299:1,-0.5,3120.0,0.2,1815.0,2763.0,4162.0,2772.0,3154.0,46.0,-0.5,32.0,49.0,39.0,39.0,47.0,5998.0,77.3,1.0,87544.0,153466.0,57.0,55.6,58.5,0.5,9369.0,269911.0,3.5,0.1,12.6,9.7,15.5,-0.6,21.5,17.1,26.7,21.2,6.8,120072.0,32226.0,3.7,-1.0,41739.0,134543.0,31.0,28.9,33.2,0.5,249.0,4.9,0.9,1824.5,372.4,1.3,1907.0,76.7,73.3,80.2,-0.6,110.3,66.4,172.2,42.1,30.8,56.1,82.3,64.5,103.4,54.6,50.0,59.2,95.6,90.2,100.9,9.2,2.8,Yes,0.9,18.1,17.3,19.0,13.6,12.8,14.3,5.4,4.8,5.9,0.6,0.4,0.7,0.5,78.2,77.6,78.9,0.8,79.1,48.5,100.0,69.3,67.8,70.9,77.1,70.9,83.2,77.5,75.4,79.6,82.1,81.6,82.6,70199,67283,73115,60576,52693,68459,64762,58216,71308,48946,37535,60357,54738,52566,56910,77203,75457,78949,54,50,28,107175,65,64,66,22708,14,13,15,511868,26.5,10.5,16321,3.2,11654,2.3,22372,4.4,1108,0.2,207045,40.4,253905,49.6,30291,7,6,7,49.5,15988,3.6,-0.11,24,0.00,39,0.18,50,0.03,39,0.07,40,0.13,60
08003,Colorado,Alamosa,206.0,9380.5,7634.1,11127.0,1.0,,,,,,,,,,10876.2,8237.9,13514.4,8689.3,6120.6,11258.1,22.8,22.2,23.5,2.2,4.5,4.4,4.7,2.3,4.4,4.3,4.6,2.2,17.3,16.7,17.9,1.8,24.0,17.9,30.6,-0.1,8.2,-0.2,23.9,18.2,30.5,0.9,83.1,-0.4,16.5,15.8,17.3,-0.7,7.0,18.0,38.9,26.4,50.7,0.5,97.0,586.1,1.5,19.7,16.0,23.4,-0.3,,,,,,,,,,22.4,17.1,28.9,11.6,7.8,16.6,1706.0,13.2,11.3,15.1,0.9,13.0,78.5,1273:1,-0.2,236.0,1414.6,71:1,-3.0,2265.0,-0.4,,,,2099.0,2170.0,41.0,0.0,,,,43.0,40.0,160.0,80.0,0.6,2426.0,4021.0,60.3,52.2,68.5,0.2,352.0,8447.0,4.2,0.9,24.3,15.7,32.9,0.8,,,,32.8,10.8,77301.0,14855.0,5.2,1.6,828.0,3890.0,21.3,13.2,29.4,-0.7,17.0,10.3,0.0,,,0.0,74.0,89.6,70.4,112.5,-0.2,,,,,,,,,,121.7,89.1,162.3,68.1,45.3,98.5,4.6,-0.7,Yes,0.9,19.5,14.5,24.5,15.9,11.1,20.7,4.3,2.0,6.6,0.9,0.0,2.1,0.8,77.0,72.4,81.7,0.6,,,,,,,,,,73.3,67.6,79.0,76.0,72.0,80.0,42897,37542,48252,51167,40251,62083,,,,27465,17794,37136,31142,25095,37189,48042,42583,53501,45,29,10,3428,56,52,59,774,13,9,17,16683,24.0,13.6,219,1.3,884,5.3,274,1.6,42,0.3,7642,45.8,8065,48.3,640,4,2,6,49.9,5694,36.9,0.51,52,0.72,57,0.21,54,-0.01,30,0.20,47,0.02,41
08005,Colorado,Arapahoe,5228.0,5338.0,5132.2,5543.9,-0.7,,,,3446.1,2732.6,4159.6,7463.4,6739.7,8187.1,4584.5,4164.6,5004.4,5309.9,5045.6,5574.1,11.7,11.4,12.0,-0.7,3.1,3.0,3.2,-0.9,3.5,3.4,3.6,-0.8,13.3,12.9,13.6,-0.6,22.1,20.6,23.6,-0.5,8.4,-0.4,16.6,15.3,17.9,-0.5,98.1,-1.1,17.9,17.4,18.3,-0.2,75.0,205.0,36.6,33.2,40.0,0.4,3718.0,578.2,1.5,17.8,17.1,18.6,-0.5,16.4,8.9,27.4,8.6,6.8,10.7,20.9,18.8,23.0,34.2,32.2,36.1,9.7,8.9,10.4,47630.0,8.5,7.8,9.2,-0.8,538.0,83.7,1195:1,-0.4,2336.0,358.7,279:1,-0.6,3069.0,0.2,2583.0,2357.0,5074.0,3545.0,2861.0,53.0,-1.2,52.0,51.0,37.0,39.0,54.0,8525.0,83.5,0.2,134942.0,188738.0,71.5,70.1,72.9,-0.6,11689.0,362692.0,3.2,-0.1,10.3,8.0,12.6,-0.8,18.7,14.1,19.3,19.4,5.4,138373.0,34762.0,4.0,-0.5,42710.0,151965.0,28.1,26.4,29.8,0.2,512.0,8.0,0.4,2081.5,330.0,1.0,2122.0,66.7,63.9,69.5,-1.0,90.8,51.9,147.5,31.6,24.4,40.2,60.1,52.1,68.0,41.0,35.9,46.1,79.1,75.2,83.0,8.1,2.0,No,-1.1,16.5,16.0,17.1,14.0,13.4,14.6,3.0,2.7,3.3,0.6,0.5,0.7,0.1,77.6,76.9,78.3,0.7,74.0,66.2,81.9,72.1,71.0,73.1,73.3,70.8,75.8,78.0,76.3,79.6,81.7,80.9,82.5,76665,74432,78898,56181,42057,70305,74286,65682,82890,55141,52056,58226,56730,54639,58821,81993,80594,83392,42,46,36,149832,63,62,64,32752,14,13,15,651215,23.6,13.1,68474,10.5,7461,1.1,42147,6.5,1885,0.3,126911,19.5,390078,59.9,24496,4,4,4,50.4,9011,1.6,-0.34,11,-0.25,14,-0.09,19,-0.13,9,-0.09,27,0.05,52
08007,Colorado,Archuleta,154.0,6069.4,4435.4,7703.5,-0.4,,,,,,,,,,,,,,,,13.8,13.4,14.3,-0.2,3.4,3.3,3.6,-0.1,3.8,3.6,3.9,0.0,13.5,12.9,14.0,-0.5,23.9,17.9,30.5,-0.2,7.8,0.2,12.5,8.3,17.7,-1.3,89.4,-0.7,15.9,15.3,16.6,-0.9,4.0,15.0,26.7,13.0,41.4,-0.3,20.0,150.2,-1.0,18.9,13.5,25.7,-0.4,,,,,,,,,,29.4,16.8,47.7,16.6,10.6,24.7,1267.0,12.9,11.1,14.7,0.8,12.0,90.1,1110:1,-0.6,21.0,152.6,655:1,0.4,2929.0,0.1,,,,,,32.0,0.9,,,,26.0,32.0,83.0,84.3,0.1,1727.0,2559.0,67.5,56.9,78.1,-0.3,236.0,6928.0,3.4,0.1,20.7,13.4,28.0,0.4,,,,37.1,7.8,94253.0,24031.0,3.9,-0.6,466.0,2209.0,21.1,12.6,29.6,-0.7,16.0,12.0,-0.3,23.5,190.3,0.0,60.0,93.0,71.0,119.7,-0.1,,,,,,,,,,,,,,,,4.4,-0.8,Yes,0.9,18.7,14.6,22.8,13.8,9.8,17.8,4.0,1.4,6.6,1.3,0.4,2.2,0.6,74.3,70.3,78.4,0.2,,,,,,,,,,82.0,73.0,91.1,72.6,68.4,76.8,53337,46943,59731,,,,85612,21784,149440,,,,37755,28328,47182,54813,47858,61768,52,,9,4228,75,72,77,766,14,10,17,13765,18.1,26.0,83,0.6,477,3.5,165,1.2,18,0.1,2511,18.2,10572,76.8,118,1,0,2,49.9,7175,59.4,-0.19,21,-0.19,20,-0.15,13,0.03,42,-0.02,32,0.01,33
08009,Colorado,Baca,,,,,0.0,,,,,,,,,,,,,,,,15.6,15.0,16.2,0.3,3.8,3.6,4.0,0.7,4.1,4.0,4.3,1.3,15.2,14.6,15.8,0.5,30.8,23.1,39.6,1.0,7.5,0.5,28.5,20.6,36.8,1.7,81.3,-0.3,15.9,15.2,16.6,-0.9,1.0,11.0,9.1,0.5,28.3,-1.4,4.0,112.3,-1.2,37.9,24.8,55.5,1.4,,,,,,,,,,,,,,,,408.0,15.8,13.4,18.2,1.8,3.0,84.2,1187:1,-0.4,1.0,27.9,3585:1,0.9,8662.0,3.0,,,,,,22.0,1.8,,,,32.0,22.0,43.0,90.7,-0.7,492.0,749.0,65.7,55.4,76.0,-0.2,41.0,2229.0,1.8,-1.5,29.3,19.3,39.3,1.4,,,,40.0,25.3,80548.0,17686.0,4.6,0.5,159.0,721.0,22.1,12.9,31.2,-0.6,6.0,16.8,-1.1,3.5,96.5,-0.7,29.0,161.3,108.0,231.7,2.3,,,,,,,,,,,,,,,,5.6,0.1,Yes,0.9,11.3,7.7,14.9,9.1,5.3,12.9,1.6,0.0,3.3,1.9,0.1,3.8,-1.2,78.6,74.9,82.2,0.8,,,,,,,,,,,,,,,,38294,33453,43135,,,,,,,,,,28125,22530,33720,40000,35387,44613,65,,15,1178,72,67,76,147,10,6,14,3585,22.4,24.7,27,0.8,70,2.0,14,0.4,0,0.0,395,11.0,3029,84.5,89,3,0,5,49.8,3788,100.0,0.00,27,-0.12,27,0.09,41,0.29,60,-0.09,28,0.01,31
08011,Colorado,Bent,106.0,10020.2,6384.2,13656.1,1.3,,,,,,,,,,,,,,,,20.0,19.4,20.6,1.4,4.1,4.0,4.3,1.4,4.0,3.8,4.1,0.8,18.2,17.6,18.8,2.4,30.0,21.9,39.1,0.9,7.2,0.8,24.1,17.2,32.1,0.9,81.6,-0.3,17.8,17.1,18.5,-0.2,1.0,5.0,20.0,1.6,47.8,-0.7,25.0,421.0,0.6,23.5,14.6,36.0,0.0,,,,,,,,,,,,,,,,313.0,10.4,8.7,12.0,-0.1,,,,0.0,5.0,85.0,1176:1,0.7,5023.0,1.6,,,,3676.0,5190.0,35.0,0.6,,,,41.0,33.0,348.0,82.5,0.3,572.0,2043.0,28.0,21.4,34.6,2.7,64.0,2017.0,3.2,-0.2,30.4,20.4,40.4,1.5,,,,31.2,28.3,71208.0,17016.0,4.2,-0.2,288.0,894.0,32.2,19.0,45.4,0.7,0.0,0.0,1.7,7.5,133.5,-0.4,32.0,109.8,75.1,155.0,0.5,,,,,,,,,,139.5,74.3,238.6,107.6,63.7,170.0,5.4,-0.1,No,-1.1,19.2,13.7,24.7,16.3,10.2,22.4,2.6,0.0,5.7,0.2,0.0,1.6,0.8,79.5,71.5,87.4,0.9,,,,,,,,,,,,,,,,37659,32741,42577,,,,,,,,,,25000,14415,35585,40685,30381,50989,67,,,1119,64,61,67,307,19,11,26,5882,14.9,17.9,447,7.6,205,3.5,83,1.4,7,0.1,1882,32.0,3327,56.6,121,2,,,34.6,2467,38.0,0.64,56,0.44,54,0.31,59,0.12,49,0.30,51,0.00,26
08013,Colorado,Boulder,2216.0,4233.0,3966.5,4499.6,-1.1,,,,,,,,,,4673.7,3960.4,5387.1,4226.2,3926.9,4525.5,11.6,11.3,12.0,-0.8,3.2,3.1,3.3,-0.6,3.3,3.1,3.4,-1.5,11.3,10.9,11.7,-1.8,15.2,13.6,17.1,-1.7,8.3,-0.3,9.5,8.3,10.9,-1.8,96.2,-1.0,20.2,19.6,20.9,0.7,29.0,111.0,26.1,21.3,31.2,-0.3,1281.0,397.2,0.4,7.9,7.3,8.5,-1.5,,,,,,,,,,30.4,27.6,33.1,3.0,2.5,3.4,18291.0,6.8,6.1,7.5,-1.4,399.0,123.7,808:1,-1.6,2278.0,698.6,143:1,-2.2,2572.0,-0.2,2658.0,1178.0,,2921.0,2563.0,53.0,-1.2,47.0,51.0,44.0,43.0,53.0,4739.0,89.3,-0.6,70323.0,84717.0,83.0,80.8,85.2,-1.5,5519.0,193822.0,2.8,-0.5,6.7,4.4,9.0,-1.3,24.5,4.9,12.2,22.1,6.3,160808.0,31001.0,5.2,1.6,15970.0,62209.0,25.7,23.3,28.1,-0.1,299.0,9.3,0.2,697.5,242.4,0.4,1072.0,66.9,62.9,70.9,-1.0,,,,22.9,13.8,35.8,,,,34.2,26.9,42.7,76.2,71.4,81.0,7.7,1.7,Yes,0.9,19.6,18.7,20.6,17.6,16.7,18.6,1.9,1.6,2.2,1.1,0.8,1.3,0.9,65.4,64.4,66.4,-1.1,65.1,49.9,80.2,66.9,64.3,69.5,59.9,50.6,69.2,72.6,69.4,75.9,69.8,68.7,70.8,83591,79652,87530,36890,20997,52783,90234,82076,98392,49314,42173,56455,49192,45808,52576,83417,81366,85468,26,49,25,78093,62,61,63,21705,18,17,19,326078,19.0,14.3,3116,1.0,2768,0.8,16149,5.0,242,0.1,45370,13.9,253017,77.6,5927,2,2,2,49.7,26255,8.9,-0.57,5,-0.41,5,-0.34,3,-0.23,3,-0.22,11,0.06,55
08014,Colorado,Broomfield,462.0,4551.4,3947.0,5155.8,-1.0,,,,,,,,,,4618.0,3115.8,6592.5,4661.8,3957.8,5365.8,9.7,9.4,10.1,-1.2,3.0,2.9,3.2,-1.0,3.4,3.2,3.5,-1.2,11.6,11.2,12.1,-1.6,19.6,15.7,23.6,-0.9,8.6,-0.7,13.0,10.0,16.3,-1.2,99.5,-1.2,20.1,19.4,20.9,0.7,7.0,11.0,63.6,51.3,73.3,2.1,210.0,307.3,-0.1,9.2,7.6,10.8,-1.3,,,,,,,,,,26.0,20.1,33.3,5.3,3.9,6.9,2855.0,4.8,4.1,5.5,-2.1,72.0,105.4,949:1,-1.1,100.0,144.4,693:1,0.4,1582.0,-0.9,,,,757.0,1579.0,58.0,-1.7,,50.0,44.0,50.0,59.0,,,0.0,17087.0,19680.0,86.8,82.7,90.9,-1.7,1165.0,39816.0,2.9,-0.4,5.1,3.6,6.6,-1.4,,3.2,,11.0,3.4,160813.0,42254.0,3.8,-0.8,2353.0,15675.0,15.0,12.3,17.8,-1.5,43.0,6.3,0.7,32.5,50.9,-1.1,203.0,61.3,52.8,69.7,-1.2,,,,,,,,,,44.1,26.1,69.6,66.5,56.6,76.4,8.5,2.3,No,-1.1,12.3,10.7,13.9,10.3,8.7,11.8,1.8,1.1,2.6,1.3,0.8,1.8,-1.0,76.9,75.0,78.8,0.6,,,,81.3,73.7,88.9,74.1,57.0,91.1,81.9,77.4,86.3,80.6,79.6,81.6,96924,86889,106959,81364,62395,100333,111401,96978,125824,89875,63792,115958,65854,57847,73861,92860,88040,97680,18,41,19,17722,66,65,68,2993,11,10,13,69267,23.1,13.8,893,1.3,548,0.8,4656,6.7,87,0.1,8731,12.6,53088,76.6,975,2,1,2,50.3,326,0.6,-0.51,7,-0.44,3,-0.22,6,-0.27,1,-0.34,4,0.03,45
