X,Y,FID,FAC_NAME,NAME,ADDRESS,CITY_STATE_ZIP,CITY,STATE,ZIP,OPERATING_STATUS,MEDICARE,MEDICARE_ID,MEDICAID,MEDICAID_ID,CERTIFIED_TOTAL_BEDS,COUNTY,ADMIN,PHONE,EMERGENCY_CONTACT,EMERGENCY_PHONE,EMERGENCY_FAX,EMERGENCY_EMAIL,DATE_GEOCODED,SOURCE,GEO_TRACT,GEO_COUNTY,GEO_ZIP,FACTYPE,SYMBOL,Latitude,Longitude,TYPE
-11700069.8817,4837228.4259,1,UCHEALTH EMERGENCY ROOM - ARVADA (18H567),UCHEALTH EMERGENCY ROOM - ARVADA,9505 RALSTON RD,"ARVADA, CO   80002",ARVADA,CO,80002,01-ACTIVE,N,,N,,0/6,JEFFERSON,Mr CHRISTOPHER GESSNER,(720) 390-6200,ASK FOR ADMIN ON CALL,(720) 848-0000,(720) 390-6204,christina.peterson@adpt.com,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059010304,JEFFERSON,80002,Community Clinic/Emergency,Clinic,39.80212,-105.103516,CCEC
-11697278.9907,4835721.3085,2,KIDNEY CENTER OF ARVADA (12Q179),KIDNEY CENTER OF ARVADA,5265 VANCE ST #100,"ARVADA, CO   80002",ARVADA,CO,80002,01-ACTIVE,Y,062554,Y,286753,21/21,JEFFERSON,Ms NANCY YOUNG,(303) 403-1127,Nancy Young,(720) 299-4561,(303) 403-1128,gmignano@americanrenal.com,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059010406,JEFFERSON,80002,End Stage Renal Disease Facility,End Stage Renal Disease,39.791718,-105.078445,ESRD
-11696199.5256,4835720.729,3,CHOICE LIVING SERVICES (10G938),CHOICE LIVING SERVICES,5255 MARSHALL ST #120,"ARVADA, CO   80002",ARVADA,CO,80002,01-ACTIVE,N,,N,,0/0,JEFFERSON,Ms JENNEY BARRON,(303) 997-1592,Rebecca Potrament,(303) 371-6700,,rebecca@choicels.com,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059010406,JEFFERSON,80002,Home and Community Based Services - Intellectual and developmental disabilities,Home and Community Based Services,39.791714,-105.068748,HCBS-IDD
-11696519.7918,4836020.7724,4,"GARDENS CARE HOMES COLUMBINE ACRES, THE (23N684)","GARDENS CARE HOMES COLUMBINE ACRES, THE",5375 OTIS STREET,"ARVADA, CO   80002",ARVADA,CO,80002,01-ACTIVE,N,,N,,0/16,JEFFERSON,Ms JENNIFER CONRAD,(303) 421-6539,Jennifer Conrad,(303) 421-6539,(720) 920-9095,TheGardensCareHomes@gmail.com,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059010406,JEFFERSON,80002,Assisted Living Residence,Assisted Living Residence/Nursing Home,39.793785,-105.071625,ALRONLY
-11698651.5601,4836077.1311,5,PRIMA 2 ADULT DAY CARE (10T696),PRIMA 2 ADULT DAY CARE,5370 CARR STREET,"ARVADA, CO   80002",ARVADA,CO,80002,01-ACTIVE,N,,Y,59755563,0/0,JEFFERSON,MARINA REMAN,(303) 420-7201,Marina Reman,(303) 591-3995,(720) 898-1098,prima2adc@yahoo.com,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059010402,JEFFERSON,80002,Adult Day,Adult Day Care Facility,39.794174,-105.090775,ADAY
-11700181.9804,4835421.1293,6,FAMILY ASSISTED LIVING OF ARVADA (23G121),FAMILY ASSISTED LIVING OF ARVADA,9585 W 51ST AVENUE,"ARVADA, CO   80002",ARVADA,CO,80002,01-ACTIVE,N,,N,,0/8,JEFFERSON,Mr TIMOTHY MILLAR,(303) 467-6842,,,(303) 421-0145,timothymillar@q.com,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059010402,JEFFERSON,80002,Assisted Living Residence,Assisted Living Residence/Nursing Home,39.789646,-105.104523,ALRONLY
-11704079.3871,4837164.9607,7,ABSOLUTE ADULT DAY PROGRAM (10Q659),ABSOLUTE ADULT DAY PROGRAM,12500 W58TH AVE #103,"ARVADA, CO   80002",ARVADA,CO,80002,01-ACTIVE,N,,Y,57450889,0/0,JEFFERSON,SVETLANA HOPCUS,(303) 534-0321,Mark Fefer,(303) 229-2020,(303) 534-1757,absoluteadultdayprogram@yahoo.com,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059009852,JEFFERSON,80002,Adult Day,Adult Day Care Facility,39.801682,-105.139534,ADAY
-11704319.7259,4836729.4089,8,KARENS HOUSE (23A122),KARENS HOUSE,12751 W 56TH PLACE,"ARVADA, CO   80002",ARVADA,CO,80002,01-ACTIVE,N,,Y,70474346,8/8,JEFFERSON,Ms KATIE WILSON,(303) 424-4136,Mary Anna Sears,(303) 432-5457,(303) 424-4125,maryse@jcmh.org,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059009852,JEFFERSON,80002,Assisted Living Residence,Assisted Living Residence/Nursing Home,39.798676,-105.141693,ALR/ACF
-11704079.3871,4837164.9607,9,ABSOLUTE ADULT DAY PROGRAM (10O593),ABSOLUTE ADULT DAY PROGRAM,12500 W 58TH AVE #103,"ARVADA, CO   80002",ARVADA,CO,80002,01-ACTIVE,N,,Y,56323077,0/0,JEFFERSON,SVETLANA HOPCUS,(303) 534-0321,Mark Fefer,(303) 534-0321,,absoluteadultdayprogram@yahoo.com,March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059009852,JEFFERSON,80002,Home and Community Based Services - Intellectual and developmental disabilities,Home and Community Based Services,39.801682,-105.139534,HCBS-IDD
-11704391.0817,4835612.9416,10,COMMUNITY PARTNERSHIPS & ASSOCIATES (10E856),COMMUNITY PARTNERSHIPS & ASSOCIATES,12665 W 52ND AVE,"ARVADA, CO   80002",ARVADA,CO,80002,01-ACTIVE,N,,N,,0/0,JEFFERSON,Ms APRIL EVANS,(303) 940-3700,April Evans,(303) 940-3700,,"aprilaevans@aol.com; evanscpna2@aol.com",March 2020,CDPHE Health Facilities and Emergency Medical Services Division,08059009852,JEFFERSON,80002,Home and Community Based Services - Intellectual and developmental disabilities,Home and Community Based Services,39.79097,-105.142334,HCBS-IDD
