FIPS,State,County,Length of Life Z-Score,Length of Life Rank,Quality of Life Z-Score,Quality of Life Rank,Health Behaviors Z-Score,Health Behaviors Rank,Clinical Care Z-Score,Clinical Care Rank,Socio-Economic Factors Z-Score,Socio-Economic  Factors Rank,Physical Environment Z-Score,Physical Environment Rank,
08000,Colorado,,,,,,,,,,,,,,
08001,Colorado,Adams,-0.11,24,0.00,39,0.18,50,0.03,39,0.07,40,0.13,60,
08003,Colorado,Alamosa,0.51,52,0.72,57,0.21,54,-0.01,30,0.20,47,0.02,41,
08005,Colorado,Arapahoe,-0.34,11,-0.25,14,-0.09,19,-0.13,9,-0.09,27,0.05,52,
08007,Colorado,Archuleta,-0.19,21,-0.19,20,-0.15,13,0.03,42,-0.02,32,0.01,33,
08009,Colorado,Baca,0.00,27,-0.12,27,0.09,41,0.29,60,-0.09,28,0.01,31,
08011,Colorado,Bent,0.64,56,0.44,54,0.31,59,0.12,49,0.30,51,0.00,26,
08013,Colorado,Boulder,-0.57,5,-0.41,5,-0.34,3,-0.23,3,-0.22,11,0.06,55,
08014,Colorado,Broomfield,-0.51,7,-0.44,3,-0.22,6,-0.27,1,-0.34,4,0.03,45,
08015,Colorado,Chaffee,-0.21,20,-0.13,24,-0.21,7,-0.05,22,-0.17,20,-0.08,3,
08017,Colorado,Cheyenne,0.00,27,-0.09,31,0.02,32,0.14,51,-0.11,24,-0.06,11,
08019,Colorado,Clear Creek,-0.40,8,-0.32,9,-0.18,11,-0.11,11,-0.11,23,-0.01,22,
08021,Colorado,Conejos,0.96,58,0.63,56,0.06,39,0.09,46,0.24,49,0.00,29,
08023,Colorado,Costilla,0.00,27,1.43,60,0.25,58,0.17,54,0.44,58,-0.04,14,
08025,Colorado,Crowley,0.00,27,0.27,50,0.41,60,0.11,47,0.31,52,0.02,37,
08027,Colorado,Custer,0.00,27,0.20,47,-0.06,23,-0.01,29,-0.01,34,-0.03,18,
08029,Colorado,Delta,0.10,43,0.08,44,0.08,40,-0.01,31,0.17,46,0.04,48,
