OBJECTID,FIPS,Life_Expectancy_Label,COUNTY,TRACT_NAME,LE_20102015,LE_StdError,LE_L95CI,LE_U95CI,LE_STATE
1,08043979000,81.3 Years (95% C.I. 74.1 - 88.5 Years),FREMONT,"Census Tract 9790, Fremont County, Colorado",81.3,3.68,74.1,88.5,80.5
2,08045951600,82.7 Years (95% C.I. 79.1 - 86.3 Years),GARFIELD,"Census Tract 9516, Garfield County, Colorado",82.7,1.82,79.1,86.3,80.5
3,08125963200,80.6 Years (95% C.I. 77.1 - 84.1 Years),YUMA,"Census Tract 9632, Yuma County, Colorado",80.6,1.76,77.1,84.1,80.5
4,08103951200,78.5 Years (95% C.I. 76.1 - 80.9 Years),RIO BLANCO,"Census Tract 9512, Rio Blanco County, Colorado",78.5,1.23,76.1,80.9,80.5
5,08103951100,79.4 Years (95% C.I. 76.4 - 82.4 Years),RIO BLANCO,"Census Tract 9511, Rio Blanco County, Colorado",79.4,1.54,76.4,82.4,80.5
6,08049000201,80.4 Years (95% C.I. 77.4 - 83.4 Years),GRAND,"Census Tract 2.01, Grand County, Colorado",80.4,1.53,77.4,83.4,80.5
7,08049000202,81.7 Years (95% C.I. 75.9 - 87.5 Years),GRAND,"Census Tract 2.02, Grand County, Colorado",81.7,2.94,75.9,87.5,80.5
8,08049000100,79.5 Years (95% C.I. 76.2 - 82.8 Years),GRAND,"Census Tract 1, Grand County, Colorado",79.5,1.69,76.2,82.8,80.5
9,08081000600,77.6 Years (95% C.I. 75.2 - 80 Years),MOFFAT,"Census Tract 6, Moffat County, Colorado",77.6,1.24,75.2,80,80.5
10,08081000500,79.7 Years (95% C.I. 75.5 - 83.9 Years),MOFFAT,"Census Tract 5, Moffat County, Colorado",79.7,2.16,75.5,83.9,80.5
11,08081000400,75.4 Years (95% C.I. 73 - 77.8 Years),MOFFAT,"Census Tract 4, Moffat County, Colorado",75.4,1.23,73,77.8,80.5
12,08081000300,79 Years (95% C.I. 75.6 - 82.4 Years),MOFFAT,"Census Tract 3, Moffat County, Colorado",79,1.71,75.6,82.4,80.5
13,08057955600,78.7 Years (95% C.I. 76.4 - 81 Years),JACKSON,"Census Tract 9556, Jackson County, Colorado",78.7,1.16,76.4,81,80.5
14,08121924100,80 Years (95% C.I. 77 - 83 Years),WASHINGTON,"Census Tract 9241, Washington County, Colorado",80,1.53,77,83,80.5
15,08107000800,81.4 Years (95% C.I. 78.3 - 84.5 Years),ROUTT,"Census Tract 8, Routt County, Colorado",81.4,1.57,78.3,84.5,80.5
16,08107000700,81.7 Years (95% C.I. 76.4 - 87 Years),ROUTT,"Census Tract 7, Routt County, Colorado",81.7,2.69,76.4,87,80.5
17,08107000500,81.9 Years (95% C.I. 77.7 - 86.1 Years),ROUTT,"Census Tract 5, Routt County, Colorado",81.9,2.15,77.7,86.1,80.5
18,08107000200,83.9 Years (95% C.I. 79.1 - 88.7 Years),ROUTT,"Census Tract 2, Routt County, Colorado",83.9,2.43,79.1,88.7,80.5
19,08107000400,77.7 Years (95% C.I. 71.4 - 84 Years),ROUTT,"Census Tract 4, Routt County, Colorado",77.7,3.22,71.4,84,80.5
20,08107000600,82.2 Years (95% C.I. 75.4 - 89 Years),ROUTT,"Census Tract 6, Routt County, Colorado",82.2,3.49,75.4,89,80.5
21,08107000300,83.9 Years (95% C.I. 79.9 - 87.9 Years),ROUTT,"Census Tract 3, Routt County, Colorado",83.9,2.05,79.9,87.9,80.5
22,08107000100,81.4 Years (95% C.I. 75.3 - 87.5 Years),ROUTT,"Census Tract 1, Routt County, Colorado",81.4,3.14,75.3,87.5,80.5
23,08051963700,79.2 Years (95% C.I. 76.5 - 81.9 Years),GUNNISON,"Census Tract 9637, Gunnison County, Colorado",79.2,1.37,76.5,81.9,80.5
24,08051963600,81.4 Years (95% C.I. 78.9 - 83.9 Years),GUNNISON,"Census Tract 9636, Gunnison County, Colorado",81.4,1.28,78.9,83.9,80.5
25,08051963800,81.4 Years (95% C.I. 77.2 - 85.6 Years),GUNNISON,"Census Tract 9638, Gunnison County, Colorado",81.4,2.12,77.2,85.6,80.5
26,08021974900,79.6 Years (95% C.I. 77.1 - 82.1 Years),CONEJOS,"Census Tract 9749, Conejos County, Colorado",79.6,1.26,77.1,82.1,80.5
27,08021974800,84.9 Years (95% C.I. 80.6 - 89.2 Years),CONEJOS,"Census Tract 9748, Conejos County, Colorado",84.9,2.21,80.6,89.2,80.5
28,08037000301,83.1 Years (95% C.I. 77 - 89.2 Years),EAGLE,"Census Tract 3.01, Eagle County, Colorado",83.1,3.14,77,89.2,80.5
29,08037000403,82.6 Years (95% C.I. 77.8 - 87.4 Years),EAGLE,"Census Tract 4.03, Eagle County, Colorado",82.6,2.42,77.8,87.4,80.5
30,08037000503,81.5 Years (95% C.I. 74.6 - 88.4 Years),EAGLE,"Census Tract 5.03, Eagle County, Colorado",81.5,3.54,74.6,88.4,80.5
31,08037000200,82.4 Years (95% C.I. 76.8 - 88 Years),EAGLE,"Census Tract 2, Eagle County, Colorado",82.4,2.86,76.8,88,80.5
32,08045951901,77.6 Years (95% C.I. 74.9 - 80.3 Years),GARFIELD,"Census Tract 9519.01, Garfield County, Colorado",77.6,1.36,74.9,80.3,80.5
33,08045951701,81.7 Years (95% C.I. 76.4 - 87 Years),GARFIELD,"Census Tract 9517.01, Garfield County, Colorado",81.7,2.71,76.4,87,80.5
34,08045951902,82.6 Years (95% C.I. 76.9 - 88.3 Years),GARFIELD,"Census Tract 9519.02, Garfield County, Colorado",82.6,2.89,76.9,88.3,80.5
35,08045951702,78.3 Years (95% C.I. 75 - 81.6 Years),GARFIELD,"Census Tract 9517.02, Garfield County, Colorado",78.3,1.67,75,81.6,80.5
36,08045952001,79.8 Years (95% C.I. 75 - 84.6 Years),GARFIELD,"Census Tract 9520.01, Garfield County, Colorado",79.8,2.44,75,84.6,80.5
37,08045952002,74.9 Years (95% C.I. 72.7 - 77.1 Years),GARFIELD,"Census Tract 9520.02, Garfield County, Colorado",74.9,1.14,72.7,77.1,80.5
38,08045951803,81.2 Years (95% C.I. 76.8 - 85.6 Years),GARFIELD,"Census Tract 9518.03, Garfield County, Colorado",81.2,2.24,76.8,85.6,80.5
39,08045951804,84.5 Years (95% C.I. 78.9 - 90.1 Years),GARFIELD,"Census Tract 9518.04, Garfield County, Colorado",84.5,2.87,78.9,90.1,80.5
40,08045952100,89.4 Years (95% C.I. 81.9 - 96.9 Years),GARFIELD,"Census Tract 9521, Garfield County, Colorado",89.4,3.83,81.9,96.9,80.5
41,08067970704,82.1 Years (95% C.I. 77.7 - 86.5 Years),LA PLATA,"Census Tract 9707.04, La Plata County, Colorado",82.1,2.23,77.7,86.5,80.5
42,08067970703,81.9 Years (95% C.I. 78.1 - 85.7 Years),LA PLATA,"Census Tract 9707.03, La Plata County, Colorado",81.9,1.96,78.1,85.7,80.5
43,08067970701,82.6 Years (95% C.I. 79.8 - 85.4 Years),LA PLATA,"Census Tract 9707.01, La Plata County, Colorado",82.6,1.41,79.8,85.4,80.5
44,08067940300,85.5 Years (95% C.I. 81.8 - 89.2 Years),LA PLATA,"Census Tract 9403, La Plata County, Colorado",85.5,1.87,81.8,89.2,80.5
45,08097000500,82.6 Years (95% C.I. 75 - 90.2 Years),PITKIN,"Census Tract 5, Pitkin County, Colorado",82.6,3.88,75,90.2,80.5
46,08097000401,81.9 Years (95% C.I. 77.7 - 86.1 Years),PITKIN,"Census Tract 4.01, Pitkin County, Colorado",81.9,2.15,77.7,86.1,80.5
47,08097000402,82.6 Years (95% C.I. 79 - 86.2 Years),PITKIN,"Census Tract 4.02, Pitkin County, Colorado",82.6,1.82,79,86.2,80.5
48,08097000100,82.6 Years (95% C.I. 77.4 - 87.8 Years),PITKIN,"Census Tract 1, Pitkin County, Colorado",82.6,2.68,77.4,87.8,80.5
49,08117000401,81.7 Years (95% C.I. 75.5 - 87.9 Years),SUMMIT,"Census Tract 4.01, Summit County, Colorado",81.7,3.16,75.5,87.9,80.5
50,08117000200,82.4 Years (95% C.I. 75.1 - 89.7 Years),SUMMIT,"Census Tract 2, Summit County, Colorado",82.4,3.74,75.1,89.7,80.5
51,08067971100,76.5 Years (95% C.I. 73.4 - 79.6 Years),LA PLATA,"Census Tract 9711, La Plata County, Colorado",76.5,1.58,73.4,79.6,80.5
52,08067971000,80.5 Years (95% C.I. 77.3 - 83.7 Years),LA PLATA,"Census Tract 9710, La Plata County, Colorado",80.5,1.62,77.3,83.7,80.5
53,08067970900,81.9 Years (95% C.I. 77.5 - 86.3 Years),LA PLATA,"Census Tract 9709, La Plata County, Colorado",81.9,2.23,77.5,86.3,80.5
54,08067970800,78.9 Years (95% C.I. 76.7 - 81.1 Years),LA PLATA,"Census Tract 9708, La Plata County, Colorado",78.9,1.12,76.7,81.1,80.5
55,08067940400,81.2 Years (95% C.I. 78.5 - 83.9 Years),LA PLATA,"Census Tract 9404, La Plata County, Colorado",81.2,1.39,78.5,83.9,80.5
56,08067970600,86.1 Years (95% C.I. 80.6 - 91.6 Years),LA PLATA,"Census Tract 9706, La Plata County, Colorado",86.1,2.81,80.6,91.6,80.5
