OBJECTID,FIPS,Tract_Name,Tract_FIPS,County,Population_Total,Population_Density_PerLandSquareMile,Disability_Population_Total_Civilian_Noninstitutionalized,Disability_Population_Total_Under18_Civilian_Noninstitutionalize,Disability_TCNPop_With_A_Disability,Percent_Disability_TCNPop_With_A_Disability,Disability_Population_TCNPop_Age_Under_5,Disability_TCNPop_AgeUnder5_With_A_Disability,Percent_Disability_TCNPop_AgeUnder5_With_A_Disability,Disability_Population_TCNPop_Age5to17,Disability_TCNPop_Age5to17_With_A_Disability,Percent_Disability_TCNPop_Age5to17_With_A_Disability,Disability_Population_TCNPop_Age0to17,Disability_TCNPopAge0to17_With_A_Disability,Percent_Disability_TCNPop_Age0to17_With_A_Disability,Disability_TCNPop_With_A_Hearing_Difficulty,Percent_Disability_TCNPop_With_A_Hearing_Difficulty,Disability_TCNPop_With_A_Hearing_Difficulty_Under18,Percent_Disability_TCNPop_With_A_Hearing_Difficulty_Under18,Disability_TCNPop_With_A_Vision_Difficulty,Percent_Disability_TCNPop_With_A_Vision_Difficulty,Disability_TCNPop_With_A_Vision_Difficulty_Under18,Percent_Disability_TCNPop_With_A_Vision_Difficulty_Under18,Disability_Population_TCNPop_Age_Over_4,Disability_TCNPop_With_A_Cognitive_Difficulty_Age_Over_4,Percent_Disability_TCNPop_With_A_Cognitive_Difficulty_Age_Over_4,Disability_TCNPop_With_A_Cognitive_Difficulty_Age517,Percent_Disability_TCNPop_With_A_Cognitive_Difficulty_Age517,Disability_TCNPop_With_An_Ambulatory_Difficulty_Age_Over_4,Percent_Disability_TCNPop_With_An_Ambulatory_Difficulty_Age_Over,Disability_TCNPop_With_An_Ambulatory_Difficulty_Age517,Percent_Disability_TCNPop_With_An_Ambulatory_Difficulty_Age517,Disability_TCNPop_With_A_Self_Care_Difficulty_Age_Over_4,Percent_Disability_TCNPop_With_A_Self_Care_Difficulty_Age_Over_4,Disability_TCNPop_With_A_Self_Care_Difficulty_Age517,Percent_Disability_TCNPop_With_A_Self_Care_Difficulty_Age517,Disability_Population_TCNPop_Age_Over_17,Disability_TCNPop_AgeOver17_With_An_IndLiving_Difficulty,Percent_Disability_TCNPop_AgeOver17_With_An_IndLiving_Difficulty
1,08043979000,"Census Tract 9790, Fremont County, Colorado",08043979000,FREMONT,3471,3.4,3471,477,710,20.5,46,0,0,431,8,1.9,477,8,1.6,311,9,0,0,117,3.4,0,0,3425,230,6.7,8,1.9,370,10.8,0,0,157,4.6,0,0,2994,295,9.9
2,08045951600,"Census Tract 9516, Garfield County, Colorado",08045951600,GARFIELD,3656,6.4,3656,856,376,10.3,247,0,0,609,7,1.1,856,8,1,161,4.4,0,0,49,1.3,0,0,3409,126,3.7,7,1.1,183,5.4,0,0,30,0.9,0,0,2800,72,2.6
3,08069002803,"Census Tract 28.03, Larimer County, Colorado",08069002803,LARIMER,97,0.4,97,0,12,12.4,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,97,0,0,0,,12,12.4,0,,0,0,0,,97,0,0
4,08125963200,"Census Tract 9632, Yuma County, Colorado",08125963200,YUMA,5467,5.3,5393,1086,732,13.6,361,0,0,725,25,3.4,1086,23,2.3,292,5.4,0,0,161,3,0,0,5032,172,3.4,25,3.4,333,6.6,0,0,25,0.5,0,0,4307,221,5.1
5,08069002401,"Census Tract 24.01, Larimer County, Colorado",08069002401,LARIMER,1310,3.3,1310,120,200,15.3,10,0,0,110,18,16.4,120,20,13.9,90,6.9,0,0,77,5.9,18,15,1300,36,2.8,18,16.4,73,5.6,0,0,6,0.5,0,0,1190,20,1.7
6,08069002402,"Census Tract 24.02, Larimer County, Colorado",08069002402,LARIMER,2712,2.9,2712,414,376,13.9,18,0,0,396,0,0,414,0,0,185,6.8,0,0,73,2.7,0,0,2694,151,5.6,0,0,158,5.9,0,0,94,3.5,0,0,2298,134,5.8
7,08103951200,"Census Tract 9512, Rio Blanco County, Colorado",08103951200,RIO BLANCO,2625,2.1,2581,545,180,7,194,0,0,351,0,0,545,0,0,86,3.3,0,0,7,0.3,0,0,2387,22,0.9,0,0,105,4.4,0,0,16,0.7,0,0,2036,67,3.3
8,08103951100,"Census Tract 9511, Rio Blanco County, Colorado",08103951100,RIO BLANCO,3932,2,3864,1044,480,12.4,199,0,0,845,28,3.3,1044,29,3.1,201,5.2,0,0,67,1.7,8,0.8,3665,114,3.1,20,2.4,279,7.6,14,1.7,58,1.6,14,1.7,2820,116,4.1
9,08049000201,"Census Tract 2.01, Grand County, Colorado",08049000201,GRAND,4908,9.9,4908,661,294,6,210,0,0,451,0,0,661,0,0,128,2.6,0,0,10,0.2,0,0,4698,69,1.5,0,0,136,2.9,0,0,65,1.4,0,0,4247,95,2.2
10,08049000202,"Census Tract 2.02, Grand County, Colorado",08049000202,GRAND,6907,27.3,6854,1119,234,3.4,223,0,0,896,0,0,1119,0,0,24,0.4,0,0,42,0.6,0,0,6631,40,0.6,0,0,109,1.6,0,0,52,0.8,0,0,5735,160,2.8
