X,Y,OBJECTID,RESOURCE_NAME,ADDRESS,CITY,STATE,ZIP,PHONE,MAP_NAME,DATE_GEOCODED,LONGITUDE,LATITUDE,COUNTY,GEO_ACCURACY
-104.882103,39.579256,1,ReMax Reality Offices,"9200 E. Panorama Circle, Suite 140",Englewood,CO,80112,303.832.2322,Amyotrophic Lateral Sclerosis (ALS)/Lou Gehrig's Disease Support Groups,August 2014,-104.882103,39.579256,ARAPAHOE COUNTY,MATCH
-105.15891,39.975382,2,Christ the Servant Lutheran Church,506 W. Via Appia,Louisville,CO,80027,303.832.2322,Amyotrophic Lateral Sclerosis (ALS)/Lou Gehrig's Disease Support Groups,August 2014,-105.15891,39.975382,BOULDER COUNTY,MATCH
-104.820009,38.836462,3,"First Presbyterian Church, Weber Street Center","219 E. Bijou St., Spruce Room",Colorado Springs,CO,80903,303.832.2322,Amyotrophic Lateral Sclerosis (ALS)/Lou Gehrig's Disease Support Groups,August 2014,-104.820009,38.836462,EL PASO COUNTY,MATCH
-104.971319,40.40553,4,"Northern Colorado Rehabilitation Hospital, Longs Peak Day Room",4401 Union St.,Johnstown,CO,80534,303.832.2322,Amyotrophic Lateral Sclerosis (ALS)/Lou Gehrig's Disease Support Groups,August 2014,-104.971319,40.40553,LARIMER COUNTY,MATCH
-108.570238,39.090744,5,The Egg & I,120 Park Drive,Grand Junction,CO,81505,303.832.2322,Amyotrophic Lateral Sclerosis (ALS)/Lou Gehrig's Disease Support Groups,August 2014,-108.570238,39.090744,MESA COUNTY,MATCH
-105.863089,37.470262,6,South-Central Colorado Seniors Inc.,"1116 3rd St. , PO Box 639",Alamosa,CO,81101,844.265.2372 (Toll Free),Aging and Disability Resources for Colorado,August 2014,-105.863089,37.470262,ALAMOSA COUNTY,MATCH
-107.009907,37.261768,7,San Juan Basin Area Agency on Aging - Pagosa Springs,"451 Hot Springs Blvd., PO Box 5456",Pagosa Springs,CO,81147,844.265.2372 (Toll Free),Aging and Disability Resources for Colorado,August 2014,-107.009907,37.261768,ARCHULETA COUNTY,MATCH
-105.281893,40.037018,8,Boulder County Aging Services Division,3482 N. Broadway,Boulder,CO,80306,844.265.2372 (Toll Free),Aging and Disability Resources for Colorado,August 2014,-105.281893,40.037018,BOULDER COUNTY,MATCH
-105.99306,38.534188,9,Upper Arkansas Area Agency on Aging - Southern Region,139 E. 3rd St.,Salida,CO,81201,844.265.2372 (Toll Free),Aging and Disability Resources for Colorado,August 2014,-105.99306,38.534188,CHAFFEE COUNTY,MATCH
-104.987194,39.736661,10,DRCOG Area Agency on Aging,"1290 Broadway, Suite 700",Denver,CO,80203,844.265.2372 (Toll Free),Aging and Disability Resources for Colorado,August 2014,-104.987194,39.736661,DENVER COUNTY,MATCH
-104.837065,38.833463,11,Pikes Peak Area Agency on Aging,15 S. 7th St.,Colorado Springs,CO,80905,844.265.2372 (Toll Free),Aging and Disability Resources for Colorado,August 2014,-104.837065,38.833463,EL PASO COUNTY,MATCH
-107.327203,39.546607,12,Northwest Colorado Options for Long Term Care,"108 8th St. , Suite 300",Glenwood Springs,CO,81601,844.265.2372 (Toll Free),Aging and Disability Resources for Colorado,August 2014,-107.327203,39.546607,GARFIELD COUNTY,MATCH
-102.604935,39.306431,13,East Central Council of Governments,"128 Colorado Ave., PO Box 28",Stratton,CO,80836,844.265.2372 (Toll Free),Aging and Disability Resources for Colorado,August 2014,-102.604935,39.306431,KIT CARSON COUNTY,MATCH
-105.029967,40.56067,14,Larimer County Office on Aging - Larimer County Human Services,"2601 Midpoint, Suite 112",Fort Collins,CO,80524,844.265.2372 (Toll Free),Aging and Disability Resources for Colorado,August 2014,-105.029967,40.56067,LARIMER COUNTY,MATCH
